sku,in_pdf_text,in_image_pack,on_site,site_name
AL-3916,True,True,True,Máquina de Barbear Dragão AL-3916
AL-3936,True,True,True,Aparador de Cabelo AL-3936
AL-5G,True,True,True,Fone P2 EMB AL-5G
AL-7A,True,True,True,Fone de Ouvido Silicone AL-7A
AL-8391,True,True,True,Caixa de Som 50W AL-8391
AL-8816-TY,True,True,True,Fone de Ouvido AL-8816-TY
AL-8817-5G,True,True,True,Fone de Ouvido AL-8817-5G
AL-A155,True,True,False,
AL-A230,True,True,False,
AL-B5207,True,True,True,Lanterna LED AL-B5207
AL-B7760,True,True,True,Isqueiro Elétrico AL-B7760
AL-B9001,True,True,True,Lanterna Tática X900 AL-B9001
AL-BB20,True,True,True,Display Digital AL-BB20
AL-C223,True,True,False,
AL-D890,True,True,False,
AL-E13,True,True,True,Fone de Ouvido P2 AL-E13
AL-E16,True,True,True,Fone de Ouvido P2 AL-E16
AL-E17,True,True,True,Fone de Ouvido P2 AL-E17
AL-L50,True,True,True,Lanterna AL-L50
AL-P9,True,True,True,Headset AL-P9
AL-S380,True,True,False,
AL-T2,True,True,True,Fone de Ouvido P2 AL-T2
AL-T3,True,True,True,Fone de Ouvido P2 AL-T3
AL-X7,True,True,True,Fone de Ouvido Silicone AL-X7
AL-ZP33,True,True,True,Suporte para Celular AL-ZP33
AU-4U,True,True,False,
C-231,True,True,True,Suporte para TV 32-55 C-231
C-233,True,True,True,Suporte para TV 14-42 C-233
CR2032,True,False,False,
F-060,True,True,True,Fone de Ouvido Sem Fio P2 F-060
F-070,True,True,True,Fone de Ouvido P2 F-070
G9S,True,True,True,Fone de Ouvido G9S
GUARDA-CHUVA,True,False,False,
I11,True,True,True,Fone de Ouvido i11
I12,True,True,True,Fone de Ouvido i12
I7MINI,True,True,True,Fone de Ouvido i7mini
I7S,True,True,True,Fone de Ouvido i7s
I9S,True,True,True,Fone de Ouvido i9s
J-60,True,False,True,Fone Bluetooth J-60
J-60-A,False,True,True,Fone de Ouvido J-60 A
J-60-AIR-39,False,True,False,
J-60-AIR31,False,True,True,Fone de Ouvido J-60 AIR31
J-60-D,False,True,True,Fone de Ouvido J-60 D
J-60-G,False,True,True,Fone de Ouvido J-60 G
J-60-L,False,True,True,Fone de Ouvido J-60 L
J-60-P,False,True,True,Fone de Ouvido J-60 P
J-60-R,False,True,True,Fone de Ouvido Touch J-60 R
J-60-U,False,True,True,Fone de Ouvido Gamer J-60 U
J-60-Y,False,True,True,Fone de Ouvido J-60 Y com Powerbank
J-70,True,False,False,
J-70-PRO-B,False,True,True,Fone de Ouvido Esportivo J-70 PRO B
J-80,True,False,False,
J-80-PRO,False,True,True,Fone de Ouvido Bluetooth J-80 PRO
J-85,True,False,False,
J-85-PRO,False,True,True,Fone de Ouvido Bluetooth J-85 PRO
J-88,True,False,False,
J-88-PRO,False,True,True,Fone de Ouvido Gamer J-88 PRO
J-99,True,False,False,
J-99-PRO,False,True,True,Fone de Ouvido Bluetooth J-99 PRO
J930,True,True,True,Fone de Ouvido J930
J940,True,True,True,Fone de Ouvido J940
JD-107,True,True,True,Rádio Bluetooth JD-107
JD-108,True,True,True,Rádio Clássico JD-108
JD-30,True,True,True,Rádio Bluetooth JD-30
JD-31,True,True,True,Rádio Bluetooth JD-31
JD-32,True,True,True,Rádio Bluetooth JD-32
JD-35,True,True,True,Rádio Bluetooth JD-35
K98,True,True,True,Fone de Ouvido K98 com Powerbank
LYF-01,True,True,True,Garrafa Térmica LYF-01
LYF-02,True,True,True,Garrafa Térmica 1250ml LYF-02
LYF-03,True,True,True,Garrafa Térmica LYF-03
LYF-05,True,True,True,Garrafa Térmica LYF-05
LYF-10,True,True,True,Garrafa Térmica 1250ml LYF-10
LYF-14,True,True,True,Garrafa Térmica 1000ml LYF-14
LYF-15,True,True,True,Garrafa Térmica 1250ml LYF-15
LYF-20,True,True,True,Garrafa Térmica 1200ml LYF-20
M-303,True,True,True,Microfone M-303
M10,True,False,False,
PN-951,True,True,False,
PN-952,True,True,False,
RS13,True,True,True,Fone de Ouvido RS13
RS15,True,True,True,Fone de Ouvido RS15
S20,True,True,True,Fone de Ouvido S20
S6,False,True,True,Fone de Ouvido Bluetooth S6
SW1,True,False,False,
T10,True,True,False,
T11,True,True,False,
TX04,True,True,False,
U60,True,True,True,Fone de Ouvido U60
X900,True,False,False,
ZQ-01,True,True,False,
